,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,batch_enrolled,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,verification_status_joint,last_week_pay,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,loan_status
0,58189336,14350,14350,14350.0,36 months, ,19.19,E,E3,clerk,9 years,OWN,28700.0,Source Verified,n,,debt_consolidation,Debt consolidation,349xx,FL,33.88,0.0,1.0,50.0,75.0,14.0,1.0,22515.0,73.1,28.0,f,1173.84,0.0,0.0,0.0,0.0,74.0,INDIVIDUAL,,26th week,0.0,0.0,28699.0,30800.0,0
1,70011223,4800,4800,4800.0,36 months,BAT1586599,10.99,B,B4,Human Resources Specialist,< 1 year,MORTGAGE,65000.0,Source Verified,n,,home_improvement,Home improvement,209xx,MD,3.64,0.0,1.0,,,6.0,0.0,7624.0,23.2,13.0,w,83.95,0.0,0.0,0.0,0.0,,INDIVIDUAL,,9th week,0.0,0.0,9974.0,32900.0,0
2,70255675,10000,10000,10000.0,36 months,BAT1586599,7.26,A,A4,Driver,2 years,OWN,45000.0,Not Verified,n,,debt_consolidation,Debt consolidation,447xx,OH,18.42,0.0,0.0,,,5.0,0.0,10877.0,31.2,19.0,w,56.47,0.0,0.0,0.0,0.0,,INDIVIDUAL,,9th week,0.0,65.0,38295.0,34900.0,0
3,1893936,15000,15000,15000.0,36 months,BAT4808022,19.72,D,D5,Us office of Personnel Management,10+ years,RENT,105000.0,Not Verified,n,> My goal is to obtain a loan to pay off my high credit cards and get out of debt within 3 years.<br>,debt_consolidation,Debt consolidation,221xx,VA,14.97,0.0,2.0,46.0,,10.0,0.0,13712.0,55.5,21.0,f,4858.62,0.0,0.0,0.0,0.0,,INDIVIDUAL,,135th week,0.0,0.0,55564.0,24700.0,0
4,7652106,16000,16000,16000.0,36 months,BAT2833642,10.64,B,B2,LAUSD-HOLLYWOOD HIGH SCHOOL,10+ years,RENT,52000.0,Verified,n,,credit_card,refi,900xx,CA,20.16,0.0,0.0,,,11.0,0.0,35835.0,76.2,27.0,w,2296.41,0.0,0.0,0.0,0.0,,INDIVIDUAL,,96th week,0.0,0.0,47159.0,47033.0,0
5,10247268,15000,15000,14950.0,36 months,BAT2575549,8.9,A,A5,Design Consultant,2 years,MORTGAGE,120000.0,Not Verified,n,"   > We are requesting this loan to help re-organize our finances after having a tumultuous year that resulted in unexpected medical bills.  I have been in the same line of work for over five years and have been at my current company, which is very stable in the marketplace, for two and a half years.<br>",debt_consolidation,Credit Card Debt Consolidation,461xx,IN,12.3,0.0,0.0,56.0,,18.0,0.0,19040.0,64.5,30.0,f,1957.24,0.0,0.0,0.0,0.0,,INDIVIDUAL,,113th week,0.0,0.0,350619.0,29500.0,0
6,8089625,5000,5000,4975.0,36 months, ,7.9,A,A4,TOYOTA OF NORTH HOLLYWOOD,5 years,RENT,75000.0,Source Verified,n,> Funds will be used to pay off a debt. I am also a lender as well here on LC.<br>,debt_consolidation,PAY THEM OFF,913xx,CA,5.7,0.0,0.0,,105.0,13.0,2.0,13272.0,23.9,23.0,f,578.36,0.0,0.0,0.0,0.0,,INDIVIDUAL,,117th week,0.0,1023.0,13272.0,55500.0,1
7,23043116,6000,6000,6000.0,36 months,,9.17,B,B1,Banker,8 years,MORTGAGE,54000.0,Not Verified,n,,credit_card,Credit card refinancing,351xx,AL,11.63,0.0,1.0,46.0,,13.0,0.0,3484.0,29.5,49.0,f,637.51,0.0,0.0,0.0,0.0,54.0,INDIVIDUAL,,78th week,0.0,0.0,272579.0,11800.0,0
8,45900933,6000,6000,6000.0,36 months,BAT4136152,13.99,C,C4,LVN,7 years,MORTGAGE,92000.0,Not Verified,n,,home_improvement,Home improvement,917xx,CA,30.85,0.0,0.0,77.0,,16.0,0.0,47567.0,76.6,27.0,w,621.72,0.0,0.0,0.0,0.0,,INDIVIDUAL,,44th week,0.0,0.0,281521.0,62100.0,0
9,41272507,34550,34550,34550.0,60 months,BAT4694572,17.14,D,D4,Registered Nurse,2 years,MORTGAGE,72000.0,Verified,n,,debt_consolidation,Debt consolidation,427xx,KY,33.92,0.0,0.0,,,12.0,0.0,30040.0,90.5,30.0,w,5535.46,0.0,0.0,0.0,0.0,,INDIVIDUAL,,52th week,0.0,0.0,76034.0,33200.0,0
10,56621560,25000,25000,24975.0,36 months, ,13.33,C,C3,VP of Operations,10+ years,OWN,135000.0,Source Verified,n,,credit_card,Credit card refinancing,875xx,NM,14.2,0.0,1.0,52.0,,15.0,0.0,23893.0,50.8,32.0,f,1551.58,0.0,0.0,0.0,0.0,52.0,INDIVIDUAL,,26th week,0.0,0.0,72193.0,47000.0,0
11,4221941,15000,15000,15000.0,36 months, ,18.49,D,D2,Jp Morgan chase bank,4 years,RENT,76000.0,Verified,n,,debt_consolidation,Loan to payoff credit card debt,926xx,CA,15.86,0.0,1.0,82.0,,15.0,0.0,14085.0,71.9,30.0,f,3726.32,0.0,0.0,0.0,0.0,82.0,INDIVIDUAL,,95th week,0.0,0.0,39152.0,19600.0,1
12,43387539,18000,18000,18000.0,36 months,BAT5924421,6.99,A,A3,driver,7 years,MORTGAGE,62000.0,Not Verified,n,,credit_card,Credit card refinancing,381xx,TN,18.58,0.0,2.0,,,15.0,0.0,47795.0,34.2,31.0,f,992.37,0.0,0.0,0.0,0.0,,INDIVIDUAL,,48th week,0.0,0.0,194011.0,139900.0,0
13,23001903,9000,9000,9000.0,36 months,BAT3193689,6.03,A,A1,Federal Law Enforcement,10+ years,MORTGAGE,145000.0,Not Verified,n,,credit_card,Credit card refinancing,773xx,TX,15.42,0.0,0.0,,,19.0,0.0,11685.0,27.2,39.0,f,633.42,0.0,0.0,0.0,0.0,,INDIVIDUAL,,78th week,0.0,0.0,165164.0,43000.0,0
14,13670372,8800,8800,8800.0,36 months,BAT224923,13.65,C,C1,Truck Driver,10+ years,RENT,80000.0,Not Verified,n,> Debt Consolidation<br>,debt_consolidation,Debt consolidation,917xx,CA,13.98,0.0,1.0,,,12.0,0.0,17060.0,41.4,17.0,w,1521.5,0.0,0.0,0.0,0.0,,INDIVIDUAL,,82th week,0.0,0.0,39634.0,41200.0,1
15,49874851,8000,8000,8000.0,36 months,BAT1184694,15.61,D,D1,ASSISTANT QAPI COORDINATOR,4 years,RENT,50000.0,Source Verified,n,,debt_consolidation,Debt consolidation,922xx,CA,27.39,0.0,2.0,,,14.0,0.0,6544.0,35.4,24.0,f,801.55,0.0,0.0,0.0,0.0,,INDIVIDUAL,,35th week,0.0,0.0,48488.0,18500.0,0
16,9878144,18450,18450,18450.0,60 months,BAT1930365,21.7,E,E2,LS1,9 years,RENT,69000.0,Source Verified,n,,debt_consolidation,Debt Consolidation,919xx,CA,24.28,0.0,0.0,72.0,,13.0,0.0,15297.0,96.2,35.0,f,6269.2,0.0,0.0,0.0,0.0,72.0,INDIVIDUAL,,96th week,0.0,0.0,71191.0,15900.0,0
17,12866989,30750,30750,30700.0,36 months, ,16.99,D,D1,,,MORTGAGE,70000.0,Verified,n,> credit card consolidation.<br><br>  > this loan if approved is to consolidate all my credit cards and some outstanding loan and use the remaining if any for repairs of my garage as well as any needed maintenance in and around my house and another thing is to central air condition in the house to cool the house rather than the window one<br><br>   > this loan if approved is to consolidate all my credit cards and some outstanding loan and use the remaining if any for the repairs of my garage as well any needed maintenance in and around my house and another thing is buy central air condition for the house but first this is for loan consolidation.<br>,credit_card,Credit card refinancing,191xx,PA,29.13,3.0,2.0,11.0,,7.0,0.0,17299.0,99.4,35.0,f,7394.32,0.0,0.0,0.0,0.0,26.0,INDIVIDUAL,,104th week,0.0,0.0,221335.0,17400.0,0
18,58568833,9000,9000,9000.0,36 months,BAT3873588,9.99,B,B3,Production employee,7 years,RENT,60000.0,Source Verified,n,,debt_consolidation,Debt consolidation,666xx,KS,19.7,0.0,0.0,,,9.0,0.0,9305.0,54.7,28.0,f,412.36,0.0,0.0,0.0,0.0,,INDIVIDUAL,,26th week,0.0,0.0,34538.0,17000.0,0
19,62725253,24000,24000,24000.0,36 months,,10.99,B,B4,Principal Consultant,7 years,RENT,130000.0,Verified,n,,debt_consolidation,Debt consolidation,606xx,IL,23.22,0.0,1.0,56.0,,16.0,0.0,23770.0,76.7,25.0,w,833.27,0.0,0.0,0.0,0.0,,INDIVIDUAL,,17th week,0.0,0.0,125903.0,31000.0,0
20,66791957,20000,20000,20000.0,60 months,BAT2252229,17.86,D,D5,Zone business manager,9 years,RENT,96000.0,Not Verified,n,,debt_consolidation,Debt consolidation,322xx,FL,18.31,1.0,0.0,18.0,,11.0,0.0,18680.0,68.7,28.0,w,843.95,0.0,0.0,0.0,0.0,18.0,INDIVIDUAL,,13th week,0.0,0.0,66738.0,27200.0,0
21,1699807,12400,12400,12400.0,36 months,BAT1135695,6.62,A,A2,Expeditors,2 years,OWN,40000.0,Not Verified,n,,debt_consolidation,Debt consolidation,114xx,NY,20.31,0.0,2.0,28.0,,6.0,0.0,1804.0,12.2,9.0,f,0.0,0.0,712.76,7.03,0.0,,INDIVIDUAL,,NAth week,0.0,,,,0
